Party,Name,Handle,AvatarURL
Republican,Rep. Arrington,RepArrington,https://pbs.twimg.com/profile_images/818265271051964417/EaWLT8zh_bigger.jpg
Republican,Debbie Lesko,RepDLesko,https://pbs.twimg.com/profile_images/996810968347889665/4u5vgPiR_normal.jpg
Republican,Ralph Norman,RepRalphNorman,https://pbs.twimg.com/profile_images/886594415904608258/VyYZc8Uk_normal.jpg
Republican,Rep. Tom Garrett,RepTomGarrett,https://pbs.twimg.com/profile_images/910308763898466304/uNk5CsOD_normal.jpg
Republican,Rep. Arrington,RepArrington,https://pbs.twimg.com/profile_images/818265271051964417/EaWLT8zh_normal.jpg
Republican,Jim Banks,RepJimBanks,https://pbs.twimg.com/profile_images/999752288624295936/PgMc7yIQ_normal.jpg
Republican,Jason Lewis,RepJasonLewis,https://pbs.twimg.com/profile_images/816364935533858816/2WXOUSqf_normal.jpg
Republican,Rep. Mike Gallagher,RepGallagher,https://pbs.twimg.com/profile_images/819978410038624266/0Df5fXvA_normal.jpg
Republican,Dr. Neal Dunn,DrNealDunnFL2,https://pbs.twimg.com/profile_images/817396749270732800/5rj6yCMh_normal.jpg
Republican,John Faso,RepJohnFaso,https://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg
Republican,Rep. Jack Bergman,RepJackBergman,https://pbs.twimg.com/profile_images/816703874241335297/IP_TEo4R_normal.jpg
Republican,Rep. Brian Mast,RepBrianMast,https://pbs.twimg.com/profile_images/816019324381122560/NZ8G8uHO_normal.jpg
Republican,Trey Hollingsworth,RepTrey,https://pbs.twimg.com/profile_images/823622288008445953/BOxHvjRv_normal.jpg
Republican,Rep. Paul Mitchell,RepPaulMitchell,https://pbs.twimg.com/profile_images/836624778798714880/Z8IIiYYx_normal.jpg
Republican,Drew Ferguson,RepDrewFerguson,https://pbs.twimg.com/profile_images/822518879989669888/XpIayZNk_normal.jpg
Republican,House Budget GOP,housebudgetGOP,https://pbs.twimg.com/profile_images/877202119165702146/qSTdAvSG_normal.jpg
Republican,Office of Rep. Amash,amashoffice,https://pbs.twimg.com/profile_images/774995905917444096/CrBlnSQo_normal.jpg
Republican,Warren Davidson,WarrenDavidson,https://pbs.twimg.com/profile_images/976467967511810050/t6jWSqm2_normal.jpg
Republican,Darin LaHood,RepLaHood,https://pbs.twimg.com/profile_images/884784404098428929/vAzowMaE_normal.jpg
Republican,House Committee on Small Business,HouseSmallBiz,https://pbs.twimg.com/profile_images/993492993779884033/pAacnQmN_normal.jpg
Republican,Rep. Mia Love,RepMiaLove,https://pbs.twimg.com/profile_images/674678985817591808/UpMtuY0Q_normal.jpg
